"Gadenavn","X-koordinat","Y-koordinat","WGS84 latitude","WGS84 longitude"
" -FLEX Aktcen., Odg.vej","501.203","6.269.493","56,569738","9,019578"
" -FLEX Albæk, Nedrevej","571.370","6.260.410","56,48273","10,158857"
" -FLEX Alken, Købmanden","552.675","6.212.231","56,052372","9,845742"
" -FLEX Allingåbro Lægeh","582.746","6.258.732","56,465798","10,342987"
" -FLEX Anelystvej","568.354","6.226.901","56,182173","10,101193"
" -FLEX Anholtfærgen Gr.","618.779","6.253.233","56,408721","10,924996"
" -FLEX Asferg, Ø/Vst.g.","557.327","6.267.281","56,54637","9,932389"
" -FLEX Assedrup Station","573.782","6.207.163","56,004059","10,18317"
" -FLEX Assentft, St.gd.","570.438","6.255.667","56,440266","10,142447"
" -FLEX AUH indgang G","572.881","6.228.062","56,191931","10,174426"
" -FLEX Auning Busst.","584.803","6.254.901","56,431023","10,375118"
" -FLEX Balle, Borgerhus","611.754","6.242.921","56,317834","10,806824"
" -FLEX Balle, Rosmus Sk","609.762","6.240.718","56,298516","10,773718"
" -FLEX Barrit Kulturh.","555.209","6.174.826","55,716038","9,878796"
" -FLEX Bjerre Borgerhus","553.717","6.182.525","55,785376","9,856565"
" -FLEX Blegind Kirke","566.747","6.214.068","56,06712","10,072098"
" -FLEX Bremdal Aktcen.","474.146","6.263.002","56,510713","8,579901"
" -FLEX Brobjergcentret","578.326","6.229.630","56,205151","10,262607"
" -FLEX Bækmarksbro St.","457.311","6.252.120","56,411728","8,308149"
" -FLEX Bøgballe Skole","538.451","6.186.478","55,822347","9,613712"
" -FLEX Campus Skanderb.","558.947","6.211.546","56,045487","9,946279"
" -FLEX Cent.for sundh.","476.721","6.247.446","56,371091","8,623126"
" -FLEX City Vest v/taxa","570.540","6.223.952","56,155364","10,13562"
" -FLEX Dalbyo., Grejsv.","574.025","6.275.502","56,617879","10,206261"
" -FLEX Daug. Gl Vejlev.","544.166","6.176.578","55,732911","9,703318"
" -FLEX Dråby Kirke","605.678","6.232.186","56,222821","10,704346"
" -FLEX Ebeltoft, AGS","604.227","6.240.992","56,302225","10,684427"
" -FLEX Ebeltoft Brgers.","604.010","6.227.290","56,179218","10,675539"
" -FLEX Ebeltoft C.","604.362","6.229.308","56,197265","10,682"
" -FLEX Ebeltoft, EBIC","604.396","6.229.009","56,194572","10,68243"
" -FLEX Ebeltoft Filmh.","605.040","6.228.849","56,192993","10,69274"
" -FLEX Egsmark, Sdr.vej","603.149","6.232.491","56,226115","10,663697"
" -FLEX Enslev, Krogag.v","568.842","6.275.060","56,614699","10,121703"
" -FLEX Feldballehallen","598.218","6.238.776","56,283605","10,586534"
" -FLEX Fjollehaven Fj.","597.728","6.263.603","56,506676","10,587877"
" -FLEX Fregatten Jyl.","603.990","6.229.520","56,19925","10,67609"
" -FLEX Fruering","561.782","6.210.399","56,034826","9,991517"
" -FLEX Fuglevangsvej","550.858","6.190.533","55,857632","9,812479"
" -FLEX Fårup","552.603","6.267.007","56,544461","9,85551"
" -FLEX Galten Torv","556.211","6.223.685","56,154869","9,904918"
" -FLEX Gassum v/kirken","561.194","6.270.568","56,575409","9,996048"
" -FLEX Gimming, Gim.vej","567.551","6.261.498","56,493066","10,097142"
" -FLEX Gjerlev, Aks.trv","569.481","6.272.001","56,587127","10,131291"
" -FLEX Glesborg v/hal","605.865","6.260.622","56,478146","10,71881"
" -FLEX Gl. Rye Skole","543.536","6.214.841","56,076739","9,699445"
" -FLEX Glud Skole","562.800","6.185.081","55,807245","10,001967"
" -FLEX Grenaa Bibliotek","616.437","6.253.387","56,410687","10,887132"
" -FLEX Grenaa Rådhus","615.690","6.253.780","56,414399","10,875206"
" -FLEX Grenaa Sundh.","614.998","6.254.202","56,418357","10,864182"
" -FLEX Grønfeldt Forsam","596.164","6.235.750","56,256848","10,552268"
" -FLEX Gødstrup Sygehus","493.227","6.223.568","56,157082","8,89096"
" -FLEX Haderup Rtb.","499.605","6.249.216","56,387566","8,993602"
" -FLEX Hadsten Station","564.800","6.243.026","56,327522","10,047899"
" -FLEX Hald, Haldvej","568.182","6.268.665","56,557353","10,109268"
" -FLEX Hammel Rtb.st.","553.434","6.234.925","56,256164","9,862482"
" -FLEX Harboøre Station","449.637","6.275.477","56,620794","8,179269"
" -FLEX Harrids., Udbyh.","569.399","6.262.408","56,500971","10,127392"
" -FLEX Havndal, Ø.bro","573.382","6.279.437","56,653324","10,196904"
" -FLEX Hedensted St.","543.826","6.180.470","55,76791","9,698528"
" -FLEX Helgenæs, As. 59","594.195","6.223.156","56,14413","10,516028"
" -FLEX Helstrp, Gl.Slkb","554.992","6.254.405","56,430982","9,891699"
" -FLEX Herskind","559.858","6.226.985","56,184071","9,964364"
" -FLEX Himmelbjerget","542.772","6.217.784","56,103248","9,687643"
" -FLEX Hinnerup St.","565.672","6.235.868","56,263101","10,060216"
" -FLEX Hjerm Station","477.784","6.254.985","56,438874","8,639696"
" -FLEX Hols. Trfikterm.","476.599","6.246.786","56,365155","8,62121"
" -FLEX Hornslet Brgser.","581.378","6.242.300","56,318444","10,315691"
" -FLEX Hornslet Hallen","581.908","6.242.378","56,319053","10,324281"
" -FLEX Hornslet Station","581.218","6.242.524","56,320483","10,313174"
" -FLEX Horsens Reg.hos.","554.656","6.191.273","55,863864","9,873295"
" -FLEX Horsens Tr.term.","552.370","6.191.102","55,862582","9,83674"
" -FLEX Horsyld Møllev.","553.703","6.179.294","55,756349","9,855705"
" -FLEX Humlum Station","472.439","6.266.272","56,539994","8,551818"
" -FLEX Hvidbjerg St.","470.928","6.278.549","56,650196","8,525869"
" -FLEX Hvidsten, Mar.v.","561.595","6.267.978","56,552091","10,001959"
" -FLEX Hylke Byparken","558.358","6.205.608","55,992214","9,935534"
" -FLEX Hyllested Forsam","609.313","6.238.824","56,281611","10,765682"
" -FLEX Højslev Station","506.788","6.267.248","56,549521","9,11041"
" -FLEX Hørning, Lyks.v.","574.101","6.252.472","56,411007","10,200939"
" -FLEX Hørning St.","564.632","6.215.717","56,082223","10,038531"
" -FLEX Hårby Byparken","556.405","6.216.003","56,085834","9,906417"
" -FLEX Javngyde","550.806","6.218.756","56,111194","9,816977"
" -FLEX Jebjerg/Stokag.v","559.183","6.250.339","56,39395","9,958727"
" -FLEX Juelsm. Lægehus","563.348","6.174.742","55,714289","10,008309"
" -FLEX Juelsm. Rådhus","562.163","6.174.045","55,70818","9,989293"
" -FLEX Kastbjerg, Bygd.","570.708","6.278.397","56,644394","10,153014"
" -FLEX Kildebj. Eft.sk.","548.578","6.172.117","55,692409","9,772778"
" -FLEX Knebel, Karpenh.","594.925","6.227.574","56,183665","10,529349"
" -FLEX Knebel, Lyngprk.","592.328","6.230.892","56,213977","10,488678"
" -FLEX Knebel, Molshal.","592.464","6.230.664","56,211902","10,490791"
" -FLEX Knebel, Molslæ.","592.230","6.230.715","56,212406","10,487037"
" -FLEX Kolind Lægehus","597.561","6.246.871","56,356442","10,578924"
" -FLEX Kolind Plus","597.375","6.247.392","56,36116","10,576108"
" -FLEX Kolind Station","598.202","6.247.567","56,36256","10,589553"
" -FLEX Korning Skole","544.008","6.189.797","55,851693","9,702937"
" -FLEX Kærby, K.møllev.","565.259","6.273.563","56,601764","10,062956"
" -FLEX Kærminde Plejehj","544.049","6.179.355","55,757872","9,701902"
" -FLEX Langhøjsk., Asp","469.909","6.254.720","56,436057","8,512013"
" -FLEX Langkast. Forsh.","575.320","6.256.997","56,451459","10,221993"
" -FLEX Langå Station","555.319","6.249.451","56,386441","9,895955"
" -FLEX Lem, Tjørnel.v.","565.306","6.262.573","56,503039","10,060956"
" -FLEX Lemvig Station","457.001","6.267.197","56,547145","8,300639"
" -FLEX Lime Forsaml.","577.138","6.249.943","56,387804","10,249402"
" -FLEX Linde, Rævagerv.","568.620","6.265.865","56,532138","10,115652"
" -FLEX Lindved Skole","536.156","6.182.968","55,790988","9,576618"
" -FLEX Lægehuset, Aulum","487.288","6.235.891","56,267678","8,794756"
" -FLEX Lægehuset, Kibæk","490.816","6.209.194","56,027895","8,852638"
" -FLEX Løsning Skole","543.726","6.184.313","55,802447","9,697551"
" -FLEX Låsby","550.696","6.222.933","56,148731","9,816002"
" -FLEX Marie M Bøj.v 16","591.361","6.250.250","56,388027","10,479798"
" -FLEX Mejlby, Dyssevej","566.501","6.264.049","56,51613","10,080743"
" -FLEX Mellerup, Amtsv.","574.047","6.264.749","56,521291","10,203547"
" -FLEX Mesing, Præstev.","558.406","6.214.833","56,075083","9,938312"
" -FLEX Midtdjurshallen","592.392","6.250.099","56,386471","10,496438"
" -FLEX Mols Bjerge cen.","597.428","6.232.420","56,226683","10,571437"
" -FLEX Munkholm Zoo","610.346","6.243.307","56,32163","10,784234"
" -FLEX Museet Sd.brogd.","476.572","6.245.641","56,354867","8,620875"
" -FLEX Møllegrd, Mølleg","501.262","6.269.149","56,566647","9,020536"
" -FLEX Mørke, Lindeg.","585.403","6.243.987","56,332888","10,381292"
" -FLEX Mørke Station","585.018","6.244.656","56,338966","10,375283"
" -FLEX Mørke, Ådalsh.","578.668","6.247.248","56,363345","10,273368"
" -FLEX Nimtofte Læg.hus","596.966","6.252.479","56,40693","10,571371"
" -FLEX Nr.Nissum, Semi.","464.377","6.267.220","56,547968","8,420595"
" -FLEX Nørbæk, Fårupvej","550.733","6.266.314","56,538441","9,824966"
" -FLEX Nørre Vissing","552.668","6.220.284","56,12472","9,847216"
" -FLEX O.by, AS Friskl.","562.494","6.178.807","55,750919","9,995648"
" -FLEX Odder St.","571.777","6.203.555","55,971952","10,150062"
" -FLEX Over Fussing","555.045","6.260.012","56,481345","9,893741"
" -FLEX Park Allé","574.737","6.223.587","56,151446","10,203069"
" -FLEX Pindstruphallen","587.227","6.251.022","56,395742","10,413119"
" -FLEX Pindstrup Landbh","587.153","6.250.691","56,392783","10,41181"
" -FLEX Ramme Station","451.395","6.260.786","56,489006","8,210666"
" -FLEX Randers Busterm.","564.008","6.257.673","56,459202","10,03867"
" -FLEX Randers Station","563.008","6.257.966","56,461968","10,022516"
" -FLEX Rands. Brg.serv.","563.720","6.257.473","56,457444","10,033948"
" -FLEX Rask Mølle, St.p","538.446","6.192.177","55,873551","9,614439"
" -FLEX Ree Park","607.939","6.236.884","56,264503","10,742708"
" -FLEX Reg.Hosp. Rnds.","564.696","6.258.935","56,470444","10,050145"
" -FLEX Rodskov Forsaml.","584.318","6.240.225","56,299292","10,362545"
" -FLEX Rosenholm Lægec.","581.780","6.242.588","56,320961","10,322277"
" -FLEX Rude Havv v/letb","572.073","6.204.886","55,983864","10,15516"
" -FLEX Ryomgaard Ringp.","592.683","6.250.154","56,386908","10,501169"
" -FLEX Ryomgård St.","592.704","6.249.395","56,380087","10,50124"
" -FLEX Ry Station","547.178","6.216.512","56,091406","9,758247"
" -FLEX Rønde Busterm.","591.462","6.240.520","56,300619","10,47805"
" -FLEX Rønde Idrætscen.","590.380","6.240.944","56,304634","10,460716"
" -FLEX Rønde, Lillerup.","591.033","6.240.619","56,30159","10,471154"
" -FLEX Råby Ved Dammen","575.505","6.274.478","56,608445","10,230072"
" -FLEX Rårup Kirke","558.289","6.181.298","55,773823","9,929196"
" -FLEX Råsted, Hobrov.","558.439","6.263.547","56,512691","9,949632"
" -FLEX Sdr.bæk, Byvejen","551.507","6.262.196","56,501364","9,836735"
" -FLEX Sdr. F. Lægehus","486.304","6.199.581","55,941415","8,780731"
" -FLEX Sjelle, Rytbakke","558.013","6.226.830","56,182906","9,93461"
" -FLEX Skand. Dyrepark","601.563","6.245.421","56,342578","10,643102"
" -FLEX Skanderborg st","557.574","6.211.305","56,043489","9,92419"
" -FLEX Skb. Fælled","559.947","6.212.051","56,0499","9,962442"
" -FLEX Skb., Møllegade","557.844","6.210.467","56,035928","9,928342"
" -FLEX Skive Trafikterm","501.569","6.268.639","56,562065","9,025529"
" -FLEX Skjørring, Kirkv","555.121","6.226.271","56,178228","9,887909"
" -FLEX Skovbyskolen","558.605","6.223.779","56,155425","9,943473"
" -FLEX Slotsg. Busterm.","476.206","6.245.957","56,357688","8,614924"
" -FLEX Snaptun Havn","565.874","6.186.738","55,821721","10,051405"
" -FLEX Spektrum Odder","571.998","6.204.220","55,977893","10,15378"
" -FLEX Spentrp, Bane A.","564.168","6.266.244","56,536171","10,043377"
" -FLEX Stenderup Skole","550.404","6.183.063","55,790566","9,803841"
" -FLEX Stevnst., Grnstnv","558.286","6.254.703","56,433264","9,94517"
" -FLEX Stilling, Lynghv","561.287","6.213.308","56,061023","9,98424"
" -FLEX Stjær Kirke","559.293","6.219.541","56,117268","9,953605"
" -FLEX Storring Kirke","558.457","6.221.659","56,136398","9,940626"
" -FLEX Stouby Skole","550.105","6.173.581","55,705407","9,797334"
" -FLEX Struer Station","475.409","6.260.860","56,491537","8,600625"
" -FLEX Sundh.cen./Thors","563.837","6.258.100","56,463061","10,036"
" -FLEX Sundhedsh. Odder","572.083","6.203.414","55,97064","10,154926"
" -FLEX Sundhedshuset","457.836","6.267.440","56,549404","8,314179"
" -FLEX Sundh., Resenvej","501.804","6.269.802","56,572512","9,029361"
" -FLEX Sunds, Lægehuset","500.752","6.228.990","56,205845","9,012122"
" -FLEX Søby Forsaml.","576.621","6.246.136","56,353693","10,239919"
" -FLEX Sølund/Pavil.5","557.249","6.209.590","56,028121","9,918607"
" -FLEX Tebbestrup, klhv","562.175","6.254.845","56,434043","10,008258"
" -FLEX Tebstrup","554.855","6.203.453","55,973267","9,878946"
" -FLEX TELEFONFABRIK","719.285","6.182.627","55,739607","12,493342"
" -FLEX Thorsagerhallen","590.271","6.244.918","56,340348","10,460317"
" -FLEX Thorsager St.","589.463","6.246.610","56,355698","10,447826"
" -FLEX Tirstrup Genop.","604.227","6.240.992","56,302225","10,684427"
" -FLEX Tirstruphallen","604.569","6.240.670","56,299258","10,689824"
" -FLEX Tvede, Udbyh.v.","571.908","6.267.425","56,545659","10,169529"
" -FLEX Tved Forsaml.","589.009","6.228.865","56,196403","10,434502"
" -FLEX Tørring Kom.adm","530.182","6.189.405","55,849234","9,482063"
" -FLEX Tånum v/Kirken","556.791","6.257.752","56,460836","9,921593"
" -FLEX Udbyhøj, Færgev.","579.615","6.275.008","56,612526","10,297174"
" -FLEX Udbyneder, Udb.v","575.772","6.280.298","56,660677","10,236129"
" -FLEX Ugelbølle Forsh.","587.636","6.241.182","56,307287","10,416462"
" -FLEX Uggelhuse, Bygd.","574.758","6.258.976","56,469324","10,213444"
" -FLEX Uglev Station","471.869","6.274.351","56,61254","8,541673"
" -FLEX Uldum, Nedergrd.","536.968","6.189.236","55,847243","9,590419"
" -FLEX Ulstrup St.","548.952","6.250.401","56,395677","9,793023"
" -FLEX Ungdomsgård","458.213","6.267.585","56,55074","8,320287"
" -FLEX VACCINATION HRS.","550.858","6.190.533","55,857632","9,812479"
" -FLEX Vejlefjordskolen","542.954","6.174.391","55,713371","9,683675"
" -FLEX Vestermarksk.","570.747","6.204.547","55,981016","10,133823"
" -FLEX Viborg Domkirke","525.452","6.256.354","56,451009","9,412918"
" -FLEX Viborg Sygeh.","524.883","6.255.677","56,444958","9,403623"
" -FLEX Viborg Tinghall.","524.878","6.256.873","56,455703","9,403656"
" -FLEX Viby Torv","572.309","6.221.010","56,128671","10,163294"
" -FLEX Vildb., Ågrd.akt","485.123","6.227.531","56,192504","8,76027"
" -FLEX Vilh./Holstebrov","456.795","6.259.617","56,479031","8,298547"
" -FLEX Virring Skole","564.487","6.210.090","56,031693","10,034847"
" -FLEX Vitus Berings Pl","552.718","6.191.043","55,862014","9,842288"
" -FLEX Vitved, Gadekær","564.700","6.211.830","56,047296","10,038684"
" -FLEX Vivild Lægehus","589.475","6.260.824","56,483358","10,452879"
" -FLEX Voerladegård Sk.","545.608","6.209.049","56,02451","9,731745"
" -FLEX Vrinners Beboerh","592.496","6.234.031","56,242137","10,492482"
" -FLEX Værum, Nørgrdsv","561.162","6.251.249","56,401873","9,990993"
" -FLEX Ø.Bjerregr. Hal","555.807","6.260.252","56,483411","9,906162"
" -FLEX Ølholm Bygade","533.006","6.188.097","55,837297","9,527006"
" -FLEX Ølsted Skole","547.443","6.184.980","55,808089","9,756958"
" -FLEX Ørsted Busst.","582.048","6.262.601","56,50067","10,332879"
" -FLEX Ørum Bibliotek","604.001","6.256.357","56,44026","10,686863"
" -FLEX Øster Snede Skl.","540.866","6.183.770","55,797819","9,651848"
" -FLEX Øster Velling","552.661","6.254.141","56,428877","9,853854"
" -FLEX Ø.Tør., Udbyh.v.","572.992","6.270.995","56,577558","10,18816"
" -FLEX Aale, Nyvej","535.006","6.193.499","55,885691","9,559636"
" -FLEX Ålum, V.Vellingv","551.297","6.256.821","56,453102","9,832266"
" -FLEX Aarhus Lufthavn","600.707","6.241.577","56,308239","10,62779"
" -FLEX Årslev, Claus H.","570.933","6.251.028","56,398522","10,149217"

